Ticker,Company Name,Sector
TRTX,"TPG Real Estate Finance Trust, Inc.",Mortgage
TWO,Two Harbors Investment Corp,Mortgage
UDR,UDR Inc,Residential
UE,Urban Edge Properties,Retail
UNIT,Uniti Group Inc,Infrastructure
VICI,Vici Properties Inc,Specialty
VNO,Vornado Realty Trust,Diversified
VRE,Veris Residential Inc,Residential
VTR,Ventas Inc,Health Care
WPC,W. P. Carey Inc.,Diversified
WSR,Whitestone REIT,Diversified
WY,Weyerhaeuser Company,Timberland
XHR,Xenia Hotels & Resorts Inc,Lodging/Resorts
LAND,Gladstone Land Corporation,Specialty
DOC,Healthpeak Properties,Health Care
WELL,Welltower,Health Care
