op,archivedt,updatedt,dl_timestamp,dl_change_seq,dealid,dealname,bloombergname,dealtype,closedt,seccutoffdt,curdistribdt,secdealbal,secwac,secwam,secwalo,secwaym,secwaltv,secwapp,secwadscr,secloancount,seclocount,secymcount,secppcount,secnorestrictcount,underwriter,trustee,masterservicer,specialservicer,curdealbal,curfirstpaydt,curwac,curwam,curwalo,curwaym,curwaltv,curwapp,curwadscr,curloancount,curlocount,curymcount,curppcount,curnorestrictcount,dealnotes,nextpaydt,asofdt,curwala,secwala,issuename,portfolioid,hasreit,privtype,comanager,secondcomanager,transactionid,secwanoidscr,secwancfdscr,curwanoidscr,curwancfdscr,issuer,series,curnetwac,isred,dealupdatedt,isprivateflag,modnotesprinpaid,modnotesiodetails,modnotesymcallocate,modnotespremallocate,othernotes,homecurrency,noteflag,staticpool,cdorepline,cdohasreit,cdohascmbsloans,cdohascmbsbonds,cdohascdobonds,cdohasother,dealcategory,allowaser,loanpmtfreqflag,fipdt,ballo,balym,balpp,balfree,origfipdt,ppcity,cdohascmbsreremic,rampupmos,revolvingmos,cdo_secloanbalsum,cdo_curloanbalsum,secdealbal_l,secloancount_l,curdealbal_l,curloancount_l,secwac_l,secwam_l,secwadscr_l,secwaltv_l,curwac_l,curwam_l,curwadscr_l,curwaltv_l,secwala_l,curwala_l,allassetsio,collateralmanager,currbalmfdirected,callprovisions,allcollateralidnotin,dealmixedcurrency,comments,haswrfunds,paymentday,paymentdayinc,businessdaytype,dealtype4,abdealtype,cashmgr,holidayschedule,proformaflagdeal,totalcumbondloss,totalcumbondlosspct,priorfyasofcount0712,qtrlyvintage,ardpct,proforma_pct,ardbal,ardcnt,servstoppedadvanyloan,or_date_0,or_trno_0,or_formula_0,or_collpct_0,or_bondpct_0,triggerhit,triggermodeledflag,excludefromstatistics,flversion,operatingadvisor,reremicflag,riskretentionflag,riskretentiontype,riskretentionholder,uwreinvestterm,uwreinvestmargin,uwreinvestmonthstoextend,modmodeledbal,modmodeledcnt,modmodeledbalpct,modnotmodeledbal,modnotmodeledcnt,modnotmodeledbalpct,modloanbal,modloancnt,modloanbalpct,notmodifiedbal,notmodifiedcnt,notmodifiedbalpct,loanswithcumarabal,loanswithcumaracnt,loanswithcumarapct,totalintshortfallbal,highestclasswithsf,secwady,curwady,highestclasswithloss,hopenotebal,hopenotepct,hopenotecnt,loanoverriderequired,cumulativedealwodra,loanswithcumwodracnt,loanswithcumwodrabal,loanswithcumwodrapct,defeasedloanpct,defeasedloanbal,correctedstatuspct,correctedstatusbal,cmbxseries,yieldmaintenanceloanpct,lockoutloanpct,openperiodloanpct,prepaypenaltyloanpct,numcustomloanlists,largestcustomloanlistid,cdosecdealbal,cdocurdealbal,cdosecloancnt,cdocurloancnt,cdocurnominaldealbal,curiobal,curiocnt,curiopct,seciobal,seciocnt,seciopct,curpartialiobal,curpartialiocnt,curpartialiopct,secpartialiobal,secpartialiocnt,secpartialiopct,aserloanbal,aserloancnt,aserloanpct,cumulativeaserloanbal,curspecialservicerbal,curspecialservicercnt,curspecialservicerpct,fixedloanbal,fixedloancnt,fixedloanpct,floatingloanbal,floatingloancnt,floatingloanpct,cutoffaaasubordination,currentaaasubordination,cutoffbaa3subordination,currentbaa3subordination,ratingagencies,lockloanpct,ymloanpct,pploanpct,openloanpct,disposedloansdisplayflag,rownumber,year,month,secWALO_L,secWAYM_L,secWAPP_L,curWALO_L,curWAYM_L,curWAPP_L,settlementdate,indices,initialpricingdate,creditenhanceaaasenior,creditenhanceaaajunior,creditenhancebbbminus,bpiecebuyer,rakebond,spreadconduitaaa5year,spreadconduitaaa10yearsenior,spreadconduitaaajunior,spreadconduitbbb,spreadaaa,spreadaa,spreada,spreadbbbminus,spreadaaajunior,specialservicer2,specialservicer3,ocfundnumberf,icfundnumberfl,octriggertype,ictriggertype,octriggername,ictriggername,octriggertitle,ictriggertitle,octriggercomments,ictriggercomments
I,2025-08-27 19:10:09.737,2025-08-27 19:10:09.737,2025-08-28 09:33:08.440000,20250828093308440000000000020571793,517,fn00m2,FNA 2000-M2,Agency CMBS,2000-10-30,2000-10-01,2025-08-17,217823774.7300,7.574893,430.407103,54.932720,0.000000,,1.019055,,38.0,36.0,0,2,0.0,Prudential,FNMA,FNMA,FNMA,499429.3700,2025-09-17,8.250000,165.000000,0.000000,0.000000,,0.000000,,1.0,0.0,0,0,38.0,,2025-09-17,2025-08-01,305.000000,7.683203,Fannie Mae Aces 2000-M,,0,Public,,,,,,,,Fannie Mae Aces,2000-M,7.750000,0,2025-08-27,1,,Tranche IO is a WAC IO. ,,,"1) For one pool, GNMA reported an incorrect factor causing FNMA to overpay the A bonds by approximately $650,000.   As a result, for pool 529698, the pool will be IO for 179 periods (173 from securitization) until FNMA is fully repaid its principal.  The model currently reflects this adjustment.  Beginning in Feb 04, FNMA began recognizing  the principal once more for Pool 529628.  This appears premature.  We are in the process of investigating the matter, but for now, Pool 529698 remains an IO loan.  This may change in the future which would shorten the average life on all classes.  Please take this into consideration when trading or analyzing the bond.  2) After tying out the deal in order to match the FNMA collateral data certain loan rates, payments and servicing fees were adjusted.",USD,N,Y,N,N,N,N,N,N,USA,N,12,2025-09-17,0.000000,0.000000,0.000000,499429.370000,2000-11-17,12,N,,,,,,,,,,,,,,,,,,,N,,0.0000,See prospectus for bond/collateral cleanup information,0,N,,Y,0,0,0,Cash,N,,US_Base,,,,,2000 Q4,0.000000,0.000000,0.000000,0.0,,0,0,No,0.000000,0.000000,N,N,N,340,,False,False,,,,,,0.0000,0.0,0.0000,0.0000,0.0,0.0000,0.0000,0.0,0.0000,499429.3700,1.0,100.0000,0.0000,0,0.000000,,,,,,0.0000,0.00,0,False,,0,,,,,,,,0.000000,0.000000,100.000000,0.000000,,,,,,,,,,,,,,0.0000,1.0,0.000000,,,,0.0000,0,0.000000,0.000000,0.0000,0,0.000000,499429.3700,1,100.000000,0.0000,0,0.000000,,,,,,0.000000,0.000000,0.000000,100.000000,False,1,2025,08,,,,,,,2025-08-18 08:00:00,,,,,,,N,,,,,,,,,,,,,,,,,,,,,
I,2025-08-18 20:36:05.570,2025-08-18 20:36:05.570,2025-08-19 01:03:38.373000,20250819010338370000000000007634989,5581,wf201nyp,ONYP 2020-1NYP,SnglAsset/Borr,2020-12-29,2020-12-01,2025-08-15,835000000.0000,,25.000000,0.000000,12.000000,54.200000,0.000000,5.960000,1.0,0.0,1,0,0.0,Wells Fargo,"Wilmington Trust, NA",Trimont LLC,K-Star Asset Management LLC,835000000.0000,2025-09-15,5.437360,5.000000,0.000000,0.000000,54.200000,0.000000,0.880300,1.0,0.0,0,0,1.0,,2025-09-15,2025-08-01,56.000000,0.000000,Wells Fargo Commercial Mortgage Trust 2020-1NYP,,0,144A,"Goldman, Sachs & Co.",BMO Capital Markets,ONYP201NYP,,5.960000,0.930800,0.880300,Wells Fargo Commercial Mortgage Trust,2020-1NYP,5.428000,0,2025-08-18,1,,,,,,USD,N,Y,N,N,N,N,N,N,USA,Y,12,2025-09-15,0.000000,0.000000,0.000000,835000000.000000,2021-01-15,12,N,,,,,,,,,,,,,,,,,,,N,,0.0000,See prospectus for bond/collateral cleanup information,0,N,,Y,0,0,0,Cash,N,,US_Base,,0.000000,0.000000,,2020 Q4,0.000000,0.000000,0.000000,0.0,,0,0,No,0.000000,0.000000,N,N,N,4350,Park Bridge Lender Services LLC,False,True,Horizontal,KKR Real Estate Stabilized Credit Partners L.P.,,,,0.0000,0.0,0.0000,0.0000,0.0,0.0000,0.0000,0.0,0.0000,835000000.0000,1.0,100.0000,0.0000,0,0.000000,0.0000,,10.110271,6.126461,,0.0000,0.00,0,False,,0,,,,,,,,0.000000,0.000000,100.000000,0.000000,,,,,,,,835000000.0000,1.0,100.000000,,,,,,,835000000.0000,1.0,100.000000,0.0000,0,0.000000,0.000000,0.0000,0,0.000000,0.0000,0,0.000000,835000000.0000,1,100.000000,32.793,32.793,5.000,5.000,S&P/Kroll,0.000000,0.000000,0.000000,100.000000,True,1,2025,08,,,,,,,2025-08-14 08:00:00,"treas30y, treas10y, treas1y, treas3y, treas6m, treas2y, treas3m, treas5y, termsofr1m",2020-12-17,,,,,N,,,,,95.0000,150.0000,220.0000,510.0000,,,,,,,,,,,,,
I,2025-08-26 20:26:39.863,2025-08-26 20:26:39.863,2025-08-27 09:33:23.227000,20250827093323220000000000018390533,6047,fn21m19,FNA 2021-M19,Agency CMBS,2021-10-29,2021-10-01,2025-08-25,736264337.0100,3.124923,118.206619,0.000000,111.206619,60.421937,0.000000,2.081927,52.0,0.0,52,0,0.0,JP Morgan,Fannie Mae,Fannie Mae,,720181784.0400,2025-09-25,3.117167,72.229997,0.000000,65.229997,60.567885,0.000000,2.068287,50.0,0.0,50,0,2.0,,2025-09-25,2025-08-01,47.770003,1.793381,Fannie Mae 2021-M19,,0,Public,,,,,2.081927,,2.068287,Fannie Mae,2021-M19,1.738810,0,2025-08-26,1,,Tranche X is a WAC IO.Tranche X3 is a WAC IO. ,,,,USD,N,Y,N,N,N,N,N,N,USA,Y,12,2025-09-25,0.000000,720181784.040000,0.000000,0.000000,2021-11-25,12,N,,,,,,,,,,,,,,,,,,,N,,0.0000,See prospectus for bond/collateral cleanup information,0,N,,N,0,0,0,Cash,N,,US_Base,,0.000000,0.000000,,2021 Q4,0.000000,0.000000,0.000000,0.0,,0,0,No,0.000000,0.000000,N,N,N,4290,,False,False,,,,,,0.0000,0.0,0.0000,0.0000,0.0,0.0000,0.0000,0.0,0.0000,720181784.0400,50.0,100.0000,0.0000,0,0.000000,0.0000,,7.916167,7.947095,,0.0000,0.00,0,False,,0,,,,,,,,100.000000,0.000000,0.000000,0.000000,,,,,,,,352289000.0000,18.0,48.916677,,,,319934669.5600,25.0,44.424154,,,,0.0000,0,0.000000,0.000000,0.0000,0,0.000000,720181784.0400,50,100.000000,0.0000,0,0.000000,,,,,,0.000000,100.000000,0.000000,0.000000,False,1,2025,08,,,,,,,2025-08-18 08:00:00,"treas30y, treas3y, treas1y, treas5y, treas10y, treas6m, treas2y, treas3m",,,,,,N,,,,,,,,,,,,,,,,,,,,,
I,2025-08-22 19:10:25.283,2025-08-22 19:10:25.283,2025-08-23 09:32:23.887000,20250823093223880000000000013920505,6827,fremf507,FREMF 2023-K507,Agency CMBS,2023-09-28,2023-09-01,2025-08-25,600126800.4100,5.377749,58.416162,37.094627,17.321534,61.971858,0.000000,1.456649,23.0,17.0,6,0,0.0,BofA Securities,US Bank,Midland Loan Services,"LNR Partners, LLC",597487561.5600,2025-09-25,5.377191,35.413443,21.565988,9.847455,61.973089,0.000000,1.578142,23.0,17.0,6,0,0.0,,2025-09-25,2025-08-01,24.586557,1.583838,FREMF 2023-K507,,0,144A,Wells Fargo,,FREMF2023K507,,1.456649,1.609888,1.578142,FREMF,2023-K507,5.236225,0,2025-08-22,1,,Tranche X1 is a WAC IO. ,,,,USD,N,Y,N,N,N,N,N,N,USA,Y,12,2025-09-25,402901102.900000,194586458.660000,0.000000,0.000000,2023-10-25,12,N,,,,,,,,,,,,,,,,,,,N,,0.0000,1% collateral cleanup,0,N,,Y,0,0,0,Cash,N,,US_Base,,0.000000,0.000000,,2023 Q3,0.000000,0.000000,0.000000,0.0,,0,0,No,1.000000,0.000000,N,N,N,4290,,False,False,,,,,,39290000.0000,1.0,6.5759,0.0000,0.0,0.0000,39290000.0000,1.0,6.5759,558197561.5600,22.0,93.4241,0.0000,0,0.000000,0.0000,,8.661620,8.910282,,0.0000,0.00,0,False,,0,,,,,,,,32.567449,67.432551,0.000000,0.000000,,,,,,,,335565000.0000,12.0,56.162675,335565000.0000,12.0,55.915683,177967429.1100,6.0,29.785963,178475000.0000,6.0,29.739548,0.0000,0,0.000000,0.000000,0.0000,0,0.000000,597487561.5600,23,100.000000,0.0000,0,0.000000,,,,,,67.432550,32.567449,0.000000,0.000000,True,1,2025,08,,,,,,,2025-08-18 08:00:00,"treas10y, treas30y, treas3y, treas6m, treas2y, treas1y, treas3m, treas5y",,,,,,N,,,,,,,,,,,,,,,,,,,,,
I,2025-08-18 19:10:35.830,2025-08-18 19:10:35.830,2025-08-19 01:03:40.463000,20250819010340460000000000007638985,7388,cg25maui,HHT 2025-MAUI,SnglAsset/Borr,2025-03-21,2025-03-01,2025-08-15,665000000.0000,,24.000000,0.000000,11.000000,56.120000,0.000000,1.390000,1.0,0.0,1,0,0.0,Citigroup,"Wilmington Savings Fund Society, FSB",KeyBank National Association,K-Star Asset Management LLC,665000000.0000,2025-09-15,10.139971,19.000000,0.000000,6.000000,56.120000,0.000000,1.100000,1.0,0.0,1,0,0.0,,2025-09-15,2025-08-01,5.000000,0.000000,Citigroup Commercial Mortgage Securities 2025-MAUI,,0,144A,JP Morgan,,HHT25MAUI,1.590000,1.390000,1.280000,1.100000,Citigroup Commercial Mortgage Securities,2025-MAUI,10.128490,0,2025-08-18,1,,,,,,USD,N,Y,N,N,N,N,N,N,USA,Y,12,2025-09-15,0.000000,665000000.000000,0.000000,0.000000,2025-04-15,12,N,,,,,,,,,,,,,,,,,,,N,,0.0000,See prospectus for bond/collateral cleanup information,0,N,,Y,0,0,0,Cash,N,,US_Base,,0.000000,0.000000,,2025 Q1,0.000000,0.000000,0.000000,0.0,,0,0,No,0.000000,0.000000,N,N,N,4350,Park Bridge Lender Services LLC,False,True,Horizontal,KKR Real Estate Stabilized Credit Partners L.P. and KREST Security Holdings LLC,,,,0.0000,0.0,0.0000,0.0000,0.0,0.0000,0.0000,0.0,0.0000,665000000.0000,1.0,100.0000,0.0000,0,0.000000,0.0000,,9.266341,7.756245,,0.0000,0.00,0,False,,0,,,,,,,,100.000000,0.000000,0.000000,0.000000,,,,,,,,665000000.0000,1.0,100.000000,,,,,,,,,,0.0000,0,0.000000,0.000000,0.0000,0,0.000000,0.0000,0,0.000000,665000000.0000,1,100.000000,53.624,53.624,39.669,39.669,Fitch,0.000000,100.000000,0.000000,0.000000,True,1,2025,08,,,,,,,2025-08-14 08:00:00,"termsofr1m, treas10y, treas1y, treas2y, treas5y, treas30y",2025-03-06,,,,,N,,,,,145.0000,180.0000,210.0000,265.0000,,,,,,,,,,,,,
