op,archivedt,dl_change_seq,updatedt,dl_timestamp,appraisalreductionamt,assetcat_corp_debt_bal,assetcat_corp_debt_cnt,assetcat_loans_bal,assetcat_loans_cnt,assetcat_other_bal,assetcat_other_cnt,assetcat_reit_bal,assetcat_reit_cnt,assetcat_security_bal,assetcat_security_cnt,assetcat_syn_corp_debt_bal,assetcat_syn_corp_debt_cnt,assetcat_syn_loans_bal,assetcat_syn_loans_cnt,assetcat_syn_other_bal,assetcat_syn_other_cnt,assetcat_syn_reit_bal,assetcat_syn_reit_cnt,assetcat_syn_security_bal,assetcat_syn_security_cnt,assetcat_syn_trups_bal,assetcat_syn_trups_cnt,assetcat_trups_bal,assetcat_trups_cnt,bankruptcyBalance,bankruptcount,cd_score_ge7bal,cd_score_ge7count,chbal,cmmcoveragepct,cmmexpectedlosspct,cmmstrcoveragepct,cmmstrexpectedlosspct,coophousingpropbal,coophousingpropcnt,coophousingproppct,countdlqcode,ctlpropbal,ctlpropcnt,ctlproppct,cumappraisalreductionamt,curdealbal,curdefeasbal,curdefeascount,curdefeasedpct,curdistribdt,curextendedballoonbal,curextendedballooncnt,curextendedballoonpct,curloancount,currrealizedloss,curwatchlistbal,curwatchlistcount,d30bal,d30count,d60bal,d60count,d90bal,d90count,dealid,dealnextpaydt,dealupdatedt,delinqstatus,dlq30daypct,dlq60daypct,dlq90daypct,dlqloancnt,dlqloanpct,dlqunknownbal,dlqunknowncnt,dlqunknownpct,dscrlessthan1bal,dscrlessthan1count,enfbal,enfcount,fclbal,fclcount,fclloanpct,fifthstate,fifthstatepropbal,fifthstatepropcnt,fifthstateproppct,fourthstate,fourthstatepropbal,fourthstatepropcnt,fourthstateproppct,hcbal,healthcarepropbal,healthcarepropcnt,healthcareproppct,hotelfullpropbal,hotelfullpropcnt,hotelfullproppct,hotelltdpropbal,hotelltdpropcnt,hotelltdproppct,hotelotherpropbal,hotelotherpropcnt,hotelotherproppct,inbal,industrialpropbal,industrialpropcnt,industrialproppct,interestonlybal,lobal,ltv_gt_75bal,ltv_gt_75cnt,ltv_gt_80bal,ltv_gt_80cnt,maturityltv,matwam,mfbal,mfcount,mfdircurdefeasbal,mfdircurdefeascount,mfdirdelinquencybal,mfdirdelinquencycount,mfdirloancount,mfdirperfspclsrvcbal,mfdirperfspclsrvccount,mfdirwatchlistbal,mfdirwatchlistcount,mhbal,mixedusepropbal,mixedusepropcnt,mixeduseproppct,mobilehomepropbal,mobilehomepropcnt,mobilehomeproppct,msac1_25bal,msac1_25cnt,msac1_25pct,msac26_50bal,msac26_50cnt,msac26_50pct,msac51plusbal,msac51pluscnt,msac51pluspct,msacnabal,msacnacnt,msacnapct,mubal,multifamilypropbal,multifamilypropcnt,multifamilyproppct,nonperfmatballonbal,nonperfmatballoncount,nonperformingmaturityballoonpct,nulldlqbal,ofbal,ofcount,officepropbal,officepropcnt,officeproppct,otbal,otherpropbal,otherpropcnt,otherproppct,partialiobal,partialioloanpct,performingspeciallyservicedloanpct,perfspclsrvcbal,perfspclsrvccount,possbal,posscount,prepaybal,prepaycnt,reobal,reocount,reoloanpct,retailanchoredpropbal,retailanchoredpropcnt,retailanchoredproppct,retailunanchoredpropbal,retailunanchoredpropcnt,retailunanchoredproppct,rtbal,rtcount,seconddefeasedloanbal,seconddefeasedloanpct,seconddefeasedloanprop,seconddefeasedloanstatus,secondproptype,secondproptypebal,secondstate,secondstatebal,secondstatepropcnt,secondstateproppct,selfstoragepropbal,selfstoragepropcnt,selfstorageproppct,singletenantbal,specialservicerloanbal,specialservicerloancnt,specialservicerloanpct,ssbal,sumappred,thirddefeasedloanbal,thirddefeasedloanpct,thirddefeasedloanprop,thirddefeasedloanstatus,thirdproptype,thirdproptypebal,thirdstate,thirdstatebal,thirdstatepropcnt,top10bal,top10count,top10loanpct,top15bal,top15count,top15loanpct,top5bal,top5count,top5loanpct,topcountry,topcountrybal,topdefeasedloanbal,topdefeasedloanpct,topdefeasedloanprop,topdefeasedloanstatus,toploanbal,toploanpct,topproptype,topproptypebal,topproptypecount,topstate,topstatebal,topstatecount,topstatepropcnt,totalotheradv,totpenalty,totpiadvance,tottiadvance,totunschprin,triggerhit,triggermodeledflag,typeundefinedpropbal,typeundefinedpropcnt,typeundefinedproppct,vrbal,wa_wach_score,wac,warehousepropbal,warehousepropcnt,warehouseproppct,watchlistloanpct,whbal,within30daybal,within30daycnt,within30daypct,yr5bal,yr7bal,DSCRLessThan1,MSAPercent1To25,MSAPercent26To50,Percent30DQ,MSAPercent51Plus,Percent5yrTerm,Percent60DQ,Percent7yrTerm,Percent90DQ,CMMBaseCaseCoveragePercent,CMMBaseCaseExpectedLossPercent,CMMStressCoveragePercent,CMMStressExpectedLossPercent,FCLDQPercent,defeasedPercent,LTVPercentGreaterThanEqualTo75,LTVPercentGreaterThanEqualTo80,MSANAPercent,nonPerfBallDQPercent,perfSSPercent,CHPercent,HCPercent,INPercent,HotelPercent,PMFPercent,MHPercent,MUPercent,OFPercent,OTPercent,RTPercent,SSPercent,UNPercent,WHPercent,REODQPercent,singleTenantPercent,top10LoanPercent,top15LoanPercent,top5LoanPercent,topPropertyType,topPropertyTypePercent,topStatePercent,DQPercent,UnDQPercent,watchlistPercent,PropertyType2nd,State2nd,PropertyType3rd,State3rd,cumulativeAppraisalReductionAmount,cumulativeASERAmount,currentCollateralBalance,currentLoanCount,currentWAC,IOLoanPct,mostRecentASER,partialIOLoanPercent,specialServicingPercent,Percent2ndPropertyType,Percent2ndState,Percent3rdPropertyType,Percent3rdState,IOOnlyPercent,MFDirectedDefeasedPercent,MFDirectedDQPercent,MFDirectedPerfSSPercent,PartialIOBalPercent,top10LoanBalPercent,top15LoanBalPercent,top5LoanBalPercent,MSAPercentBal1To25,MSAPercentBal26To50,MSAPercentBal51Plus,MSANABalPercent,performingBalSpecialServicePercent,rownumber,sfpercent,thirdstateproppct,topstateproppct
I,2025-09-11 19:56:08.890,20250912132355110000000000000538157,2025-09-11 19:56:08.890,2025-09-12 13:23:55.117000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,52.020540,0.620872,52.020540,11.853554,0.0000,0,0.000000,1,0.0000,0,0.000000,0.000000,7469942.5800,,0,0.000000,2025-09-12,0.0000,0,0.000000,9,0.000000,,0,0.0000,0,0.0000,0,0.0000,0,999,2025-10-12,2025-09-11,1.0,0.000000,0.000000,0.000000,1,0.000000,0.0000,0,0.000000,0.0000,5.0,0.0000,0.000000,0.0000,0,0.000000,,0.0000,0,0.000000,MN,377389.7900,1,5.052111,,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0,0.000000,2715227.1300,2715227.1300,8,36.348701,0.0000,,0.0000,0.0,0.0000,0.0,0.0000,43.848480,4128752.7900,2,,0,0.0000,0,0,0.0000,0,,0,,0.0000,0,0.000000,0.0000,0,0.000000,4293415.7400,9,0.574758,464308.1700,1,0.062156,2712218.6700,2,0.363084,0.0000,0,,,4128752.7900,2,55.271546,0.0000,0,0.000000,0.0000,248572.8700,1,248572.8700,1,3.327640,,0.0000,0,0.000000,0.0000,0.000000,0.000000,0.0000,0,0.0000,0.000000,,0,0.0000,0,0.000000,0.0000,0,0.000000,377389.7900,1,5.052110,377389.7900,2,0.0000,0.000000,,,IN,2715227.1300,NC,2392418.4400,2,32.027267,0.0000,0,0.000000,1437495.4100,,,,0.0000,0.000000,0.0000,0.000000,,,RT,377389.7900,CA,2250918.9600,7,7469942.5800,9,100.000000,7469942.5800,9,100.000000,6095033.0700,5,81.594108,,,0.0000,0.000000,,,2143845.5700,28.699625,MF,4128752.7900,,UT,2449215.3900,,2,0.000000,0.000000,0.000000,0.000000,0.000000,N,N,0.0000,0,0.000000,,,0.061211,0.0000,0,0.000000,,,7469942.5800,9,100.000000,0.0000,0.0000,0E-19,0.574758,0.062156,0.000000,0.363084,0E-19,0.000000,0E-19,0.000000,52.020540,0.620872,52.020540,11.853554,0.000000,0.000000,0E-19,0E-19,,0.000000,0.000000,0.000000,0.000000,36.348701,0.000000,55.271546,0.000000,0.000000,3.327640,0.000000,5.052110,0.000000,0.000000,0.000000,0.000000,0.1924372770747589870,100.000000,100.000000,81.594108,MF,0.5527154654514091325,0.3278760664851054317,0.000000,0.000000,,IN,NC,RT,CA,0.000000,0.000000,7469942.5800,9,0.061211,0.000000,0.000000,0.000000,,0.3634870149162512036,0.3202726680129313658,0.0505211098958674994,0.3013301556060957031,0E-19,,0E-19,0E-19,0E-19,1.0000000000000000000,1.0000000000000000000,0.8159410871937385093,0.5747588678251928410,0.0621568593101555006,0.3630842728646516584,0E-19,0E-19,1,0.000000,30.133016,32.787607
I,2025-09-11 19:54:00.700,20250912132355110000000000000538161,2025-09-11 19:54:00.700,2025-09-12 13:23:55.117000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.000000,,0.000000,,0.0000,0,0.000000,5,0.0000,0,0.000000,0.000000,549291.6300,549291.6300,1,100.000000,2025-09-10,0.0000,0,0.000000,1,0.000000,,0,0.0000,0,0.0000,0,0.0000,0,1066,2025-10-10,2025-09-11,1.0,0.000000,0.000000,0.000000,5,0.000000,0.0000,0,0.000000,0.0000,1.0,0.0000,0.000000,0.0000,0,0.000000,,0.0000,0,0.000000,,0.0000,0,0.000000,,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0.0000,0,0.000000,0.0000,,0.0000,0.0,0.0000,0.0,0.0000,31.000000,0.0000,0,,0,0.0000,0,0,0.0000,0,,0,0.0000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0,,0.0000,0,,549291.6300,1,1.000000,0.0000,0,,0.0000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0.0000,0,0.0000,0,0.000000,,0.0000,0,0.000000,0.0000,0.000000,0.000000,0.0000,0,0.0000,0.000000,,0,0.0000,0,0.000000,0.0000,0,0.000000,549291.6300,1,100.000000,549291.6300,2,0.0000,0.000000,,,MU,0.0000,,0.0000,0,0.000000,0.0000,0,0.000000,549291.6300,,,,,0.000000,0.0000,0.000000,,,MH,0.0000,,0.0000,0,549291.6300,1,100.000000,549291.6300,1,100.000000,549291.6300,1,100.000000,,,549291.6300,100.000000,Walgreens College Station,Fully defeased,549291.6300,100.000000,RT,549291.6300,,TX,549291.6300,,1,0.000000,0.000000,0.000000,0.000000,0.000000,N,N,0.0000,0,0.000000,,,0.067800,0.0000,0,0.000000,,,549291.6300,1,100.000000,0.0000,0.0000,0E-19,,,0.000000,1.000000,0E-19,0.000000,0E-19,0.000000,0.000000,,0.000000,,0.000000,100.000000,0E-19,0E-19,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,1.0000000000000000000,100.000000,100.000000,100.000000,RT,1.0000000000000000000,1.0000000000000000000,0.000000,0.000000,,MU,,MH,,0.000000,0.000000,549291.6300,1,0.067800,0.000000,0.000000,0.000000,,0E-19,0E-19,0E-19,0E-19,0E-19,,0E-19,0E-19,0E-19,1.0000000000000000000,1.0000000000000000000,1.0000000000000000000,0E-19,0E-19,1.0000000000000000000,0E-19,0E-19,1,0.000000,0.000000,100.000000
I,2025-09-11 19:54:35.593,20250912132355110000000000000538165,2025-09-11 19:54:35.593,2025-09-12 13:23:55.117000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,100.000000,1.050000,100.000000,11.590000,0.0000,0,0.000000,6,0.0000,0,0.000000,0.000000,1284805.1400,,0,0.000000,2025-09-10,0.0000,0,0.000000,1,0.000000,,0,0.0000,0,0.0000,0,0.0000,0,1328,2025-10-10,2025-09-11,1.0,0.000000,0.000000,0.000000,6,0.000000,0.0000,0,0.000000,0.0000,2.0,0.0000,0.000000,0.0000,0,0.000000,,0.0000,0,0.000000,,0.0000,0,0.000000,,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0.0000,0,0.000000,0.0000,0.0000,1284805.1400,1.0,0.0000,0.0,0.0000,58.000000,0.0000,0,,0,0.0000,0,0,0.0000,0,,0,0.0000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0,,0.0000,0,,1284805.1400,1,1.000000,0.0000,0,,0.0000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0.0000,0,0.0000,0,0.000000,,0.0000,0,0.000000,0.0000,0.000000,0.000000,0.0000,0,0.0000,0.000000,,0,0.0000,0,0.000000,0.0000,0,0.000000,1284805.1400,1,100.000000,1284805.1400,2,0.0000,0.000000,,,MF,0.0000,,0.0000,0,0.000000,0.0000,0,0.000000,1284805.1400,,,,0.0000,0.000000,0.0000,0.000000,,,SS,0.0000,,0.0000,0,1284805.1400,1,100.000000,1284805.1400,1,100.000000,1284805.1400,1,100.000000,,,0.0000,0.000000,,,1284805.1400,100.000000,RT,1284805.1400,,SC,1284805.1400,,1,0.000000,0.000000,0.000000,0.000000,0.000000,N,N,0.0000,0,0.000000,,,0.055500,0.0000,0,0.000000,,,1284805.1400,1,100.000000,0.0000,0.0000,0E-19,,,0.000000,1.000000,0E-19,0.000000,0E-19,0.000000,100.000000,1.050000,100.000000,11.590000,0.000000,0.000000,1.0000000000000000000,0E-19,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,1.0000000000000000000,100.000000,100.000000,100.000000,RT,1.0000000000000000000,1.0000000000000000000,0.000000,0.000000,,MF,,SS,,0.000000,0.000000,1284805.1400,1,0.055500,0.000000,0.000000,0.000000,,0E-19,0E-19,0E-19,0E-19,0E-19,,0E-19,0E-19,0E-19,1.0000000000000000000,1.0000000000000000000,1.0000000000000000000,0E-19,0E-19,1.0000000000000000000,0E-19,0E-19,1,0.000000,0.000000,100.000000
I,2025-09-11 19:52:32.237,20250912132355110000000000000538169,2025-09-11 19:52:32.237,2025-09-12 13:23:55.117000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,15.450930,0.590000,15.450930,10.920000,0.0000,0,0.000000,7,0.0000,0,0.000000,0.000000,336286.6000,69665.7600,1,20.716186,2025-09-11,0.0000,0,0.000000,3,0.000000,266620.8400,2,0.0000,0,0.0000,0,0.0000,0,1405,2025-10-11,2025-09-11,1.0,0.000000,0.000000,0.000000,7,0.000000,0.0000,0,0.000000,214661.4300,1.0,0.0000,0.000000,0.0000,0,0.000000,,0.0000,0,0.000000,,0.0000,0,0.000000,,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0.0000,0,0.000000,0.0000,0.0000,214661.4300,1.0,0.0000,0.0,2.0946,2.276658,0.0000,0,,0,0.0000,0,0,0.0000,0,,0,0.0000,0.0000,0,0.000000,0.0000,0,0.000000,214661.4300,1,0.638328,69665.7600,1,0.207161,51959.4100,1,0.154509,0.0000,0,,0.0000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,69665.7600,1,69665.7600,1,20.716186,0.0000,0.0000,0,0.000000,214661.4300,63.832882,0.000000,0.0000,0,0.0000,0.000000,,0,0.0000,0,0.000000,51959.4100,1,15.450930,214661.4300,1,63.832882,266620.8400,2,0.0000,0.000000,,,OF,69665.7600,OH,69665.7600,1,20.716187,0.0000,0,0.000000,69665.7600,,,,0.0000,0.000000,0.0000,0.000000,,,LO,0.0000,FL,51959.4100,1,336286.6000,3,100.000000,336286.6000,3,100.000000,336286.6000,3,100.000000,,,69665.7600,20.716187,Pinetree Plaza,Fully defeased,214661.4300,63.832882,RT,266620.8400,,MI,214661.4300,,1,0.000000,0.000000,0.000000,0.000000,0.000000,N,N,0.0000,0,0.000000,,,0.057978,0.0000,0,0.000000,79.283813,,336286.6000,3,100.000000,0.0000,0.0000,0.6383288242826208359,0.638328,0.207161,0.000000,0.154509,0E-19,0.000000,0E-19,0.000000,15.450930,0.590000,15.450930,10.920000,0.000000,20.716186,0.6383288242826208359,0E-19,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.716186,0.000000,79.283812,0.000000,0.000000,0.000000,0.000000,0.2071618672882000056,100.000000,100.000000,100.000000,RT,0.7928381327117999944,0.6383288242826208359,0.000000,0.000000,79.283813,OF,OH,LO,FL,0.000000,0.000000,336286.6000,3,0.057978,0.000000,0.000000,63.832882,,0.2071618672882000056,0.2071618672882000056,0E-19,0.1545093084291791585,0E-19,,0E-19,0E-19,0.6383288242826208359,1.0000000000000000000,1.0000000000000000000,1.0000000000000000000,0.6383288242826208359,0.2071618672882000056,0.1545093084291791585,0E-19,0E-19,1,0.000000,15.450931,63.832882
I,2025-09-11 19:58:04.323,20250912132355110000000000000538173,2025-09-11 19:58:04.323,2025-09-12 13:23:55.117000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,376658.1400,0.000000,,0.000000,,376658.1400,1,100.000000,12,0.0000,0,0.000000,0.000000,376658.1400,,0,0.000000,2025-09-12,0.0000,0,0.000000,1,0.000000,376658.1400,1,0.0000,0,0.0000,0,0.0000,0,1454,2025-10-12,2025-09-11,1.0,0.000000,0.000000,0.000000,12,0.000000,0.0000,0,0.000000,376658.1400,1.0,0.0000,0.000000,0.0000,0,0.000000,,0.0000,0,0.000000,,0.0000,0,0.000000,,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0.0000,0,0.000000,0.0000,0.0000,0.0000,0.0,0.0000,0.0,1.0000,6.000000,0.0000,0,,0,0.0000,0,0,0.0000,0,,0,0.0000,0.0000,0,0.000000,0.0000,0,0.000000,376658.1400,1,1.000000,0.0000,0,,0.0000,0,,0.0000,0,,0.0000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0.0000,0,0.0000,0,0.000000,0.0000,0.0000,0,0.000000,0.0000,0.000000,0.000000,0.0000,0,0.0000,0.000000,,0,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,0,0.0000,0.000000,,,IN,0.0000,,0.0000,0,0.000000,0.0000,0,0.000000,0.0000,,,,0.0000,0.000000,0.0000,0.000000,,,RT,0.0000,,0.0000,0,376658.1400,1,100.000000,376658.1400,1,100.000000,376658.1400,1,100.000000,,,0.0000,0.000000,,,376658.1400,100.000000,CH,376658.1400,,NY,376658.1400,,1,0.000000,0.000000,0.000000,0.000000,0.000000,N,N,0.0000,0,0.000000,,,0.062500,0.0000,0,0.000000,100.000000,,376658.1400,1,100.000000,0.0000,0.0000,1.0000000000000000000,1.000000,,0.000000,,0E-19,0.000000,0E-19,0.000000,0.000000,,0.000000,,0.000000,0.000000,0E-19,0E-19,,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0E-19,100.000000,100.000000,100.000000,CH,1.0000000000000000000,1.0000000000000000000,0.000000,0.000000,100.000000,IN,,RT,,0.000000,0.000000,376658.1400,1,0.062500,0.000000,0.000000,0.000000,,0E-19,0E-19,0E-19,0E-19,0E-19,,0E-19,0E-19,0E-19,1.0000000000000000000,1.0000000000000000000,1.0000000000000000000,1.0000000000000000000,0E-19,0E-19,0E-19,0E-19,1,0.000000,0.000000,100.000000
