field,excel_description,json_description,exact_match,normalized_match,status
lastpropcontribdate,"Date the property was contributed to the securitization and date of subsequent activity corresponding to the Property Status Legend (P18) codes.  If the property is the same as the original transaction collateral, then use transaction closing/securitization date and P18 code 6 “same as at contribution”.  If the property is in foreclosure, REO, defeased, released or substituted, use the effective date of such activity and the corresponding P18 code. (YYYYMMDD)","Date the property was contributed to the securitization and date of subsequent activity corresponding to the Property Status Legend (P18) codes. If the property is the same as the original transaction collateral, then use transaction closing/securitization date and P18 code 6 'same as at contribution'. If the property is in foreclosure, REO, defeased, released or substituted, use the effective date of such activity and the corresponding P18 code. (YYYYMMDD)",False,False,DESCRIPTION_MISMATCH
priorfyds,"Total scheduled or actual payments for the most recent fiscal year end statement available as reported by the servicer .  Payments include scheduled or actual principal and or interest as required by the loan documents.  Calculate using the current allocated percentage (P20) to get the allocated amount for each property.  If multiple properties sum the value. If missing any or if all received/consolidated, then populate using the DSCR Indicator Legend rule","Total scheduled or actual payments for the most recent fiscal year end statement available as reported by the servicer. Payments include scheduled or actual principal and or interest as required by the loan documents. Calculate using the current allocated percentage (P20) to get the allocated amount for each property. If multiple properties sum the value. If missing any or if all received/consolidated, then populate using the DSCR Indicator Legend rule",False,False,DESCRIPTION_MISMATCH
priorfydscr,"A ratio of net operating income (NOI) to debt service for the most recent fiscal year end statement available as reported by the servicer . If multiple properties exist and the related data is comparable, calculate the DSCR of the underlying properties.  If multiple properties exist and comparable data is not available for all properties or if received/consolidated, populate using the DSCR Indicator Legend rule. (3)","A ratio of net operating income (NOI) to debt service for the most recent fiscal year end statement available as reported by the servicer. If multiple properties exist and the related data is comparable, calculate the DSCR of the underlying properties. If multiple properties exist and comparable data is not available for all properties or if received/consolidated, populate using the DSCR Indicator Legend rule. (3)",False,False,DESCRIPTION_MISMATCH
propSubTypeCode,"""Short"" property type as specified in Annex A",Short property type as specified in Annex A,False,False,DESCRIPTION_MISMATCH
propTypeLong,"""Detailed"" property type as specified in Annex A",Detailed property type as specified in Annex A,False,False,DESCRIPTION_MISMATCH
