field,excel_description,json_description,exact_match,normalized_match,status
curCrossCollateralizationNum,"A mechanism whereby the properties that collateralize the individual loans are pledged against all loans to the same borrowing entity.  It is a method used to enhance credit quality of the collateral.  For example : ""X02-1"" would be populated in this field for all related loans, ""X02-2"" would be populated for the 2nd group of related loans.","A mechanism whereby the properties that collateralize the individual loans are pledged against all loans to the same borrowing entity. It is a method used to enhance credit quality of the collateral. For example: ""X02-1"" would be populated in this field for all related loans, ""X02-2"" would be populated for the 2nd group of related loans.",False,False,DESCRIPTION_MISMATCH
resecuritizedFlag,"Y or N field, Trepp derived to determine if a property has been previously securitized.  If a multi-prop in a portfolio is marked with Y, the loan portoflio will have a Y.  For pari passu and split loans, only the first securitized piece or original loan will be marked with Y if applicable.","Y or N field, Trepp derived to determine if a property has been previously securitized. If a multi-prop in a portfolio is marked with Y, the loan portfolio will have a Y. For pari passu and split loans, only the first securitized piece or original loan will be marked with Y if applicable.",False,False,DESCRIPTION_MISMATCH
